generation,fitness,nb_evals
0,0,100.0
1,489,200.0
2,571.1,300.0
3,586.1,400.0
4,598.6,500.0
5,615.8,600.0
6,633.7,700.0
7,647.3,800.0
8,658.1,900.0
9,675.2,1000.0
10,686.5,1100.0
11,697.1,1200.0
12,714.5,1300.0
13,726.9,1400.0
14,736.7,1500.0
15,746.6,1600.0
16,759.8,1700.0
17,770.7,1800.0
18,783.2,1900.0
19,790.6,2000.0
20,802.1,2100.0
21,811.7,2200.0
22,821.3,2300.0
23,831.4,2400.0
24,841.6,2500.0
25,846.5,2600.0
26,856.6,2700.0
27,865.0,2800.0
28,872.3,2900.0
29,881.8,3000.0
30,887.0,3100.0
31,893.5,3200.0
32,899.1,3300.0
33,905.3,3400.0
34,909.7,3500.0
35,916.9,3600.0
36,921.4,3700.0
37,927.3,3800.0
38,932.5,3900.0
39,935.8,4000.0
40,939.6,4100.0
41,943.4,4200.0
42,946.3,4300.0
43,950.0,4400.0
44,952.0,4500.0
45,954.1,4600.0
46,956.9,4700.0
47,959.3,4800.0
48,961.9,4900.0
49,963.7,5000.0
50,965.5,5100.0
51,966.4,5200.0
52,967.7,5300.0
53,969.1,5400.0
54,970.3,5500.0
55,970.9,5600.0
56,972.3,5700.0
57,973.1,5800.0
58,973.8,5900.0
59,974.5,6000.0
60,975.4,6100.0
61,976.2,6200.0
62,977.2,6300.0
63,977.8,6400.0
64,978.7,6500.0
65,979.6,6600.0
66,980.1,6700.0
67,980.7,6800.0
68,980.9,6900.0
69,981.1,7000.0
70,981.6,7100.0
71,982.5,7200.0
72,983.1,7300.0
73,983.3,7400.0
74,984.1,7500.0
75,984.2,7600.0
76,985.0,7700.0
77,985.4,7800.0
78,985.9,7900.0
79,986.3,8000.0
80,986.7,8100.0
81,986.7,8200.0
82,987.2,8300.0
83,987.5,8400.0
84,987.9,8500.0
85,987.9,8600.0
86,988.3,8700.0
87,988.2,8800.0
88,988.6,8900.0
89,988.8,9000.0
90,989.1,9100.0
91,989.0,9200.0
92,989.5,9300.0
93,989.7,9400.0
94,989.9,9500.0
95,990.0,9600.0
96,990.6,9700.0
97,990.6,9800.0
98,990.8,9900.0
99,991.2,10000.0
100,991.4,10100.0
101,991.6,10200.0
102,992.1,10300.0
103,992.1,10400.0
104,992.3,10500.0
105,992.7,10600.0
106,992.9,10700.0
107,993.2,10800.0
108,993.2,10900.0
109,993.2,11000.0
110,993.5,11100.0
111,993.5,11200.0
112,993.9,11300.0
113,994.0,11400.0
114,994.0,11500.0
115,994.5,11600.0
116,994.4,11700.0
117,994.8,11800.0
118,994.8,11900.0
119,995.0,12000.0
120,995.4,12100.0
121,995.4,12200.0
122,995.5,12300.0
123,995.6,12400.0
124,995.8,12500.0
125,995.9,12600.0
126,995.9,12700.0
127,996.4,12800.0
128,996.5,12900.0
129,996.6,13000.0
130,996.8,13100.0
131,996.8,13200.0
132,996.8,13300.0
133,996.8,13400.0
134,996.9,13500.0
135,996.9,13600.0
136,997.0,13700.0
137,997.1,13800.0
138,997.3,13900.0
139,997.5,14000.0
140,997.7,14100.0
141,998.0,14200.0
142,997.9,14300.0
143,998.0,14400.0
144,998.2,14500.0
145,998.1111111111111,14600.0
146,998.1111111111111,14700.0
147,998.1111111111111,14800.0
148,998.3333333333334,14900.0
149,998.4444444444445,15000.0
150,998.4444444444445,15100.0
151,998.4444444444445,15200.0
152,998.4444444444445,15300.0
153,998.4444444444445,15400.0
154,998.5555555555555,15500.0
155,998.5555555555555,15600.0
156,998.5555555555555,15700.0
157,998.5555555555555,15800.0
158,998.5555555555555,15900.0
159,998.6666666666666,16000.0
160,998.5555555555555,16100.0
161,998.5555555555555,16200.0
162,998.6666666666666,16300.0
163,998.7777777777778,16400.0
164,998.625,16500.0
165,998.875,16600.0
166,998.5,16700.0
167,998.5,16800.0
168,998.5,16900.0
169,998.6666666666666,17000.0
170,998.4,17100.0
171,998.6,17200.0
172,998.6,17300.0
173,998.6,17400.0
174,998.6,17500.0
175,998.6,17600.0
176,998.8,17700.0
177,998.5,17800.0
178,998.75,17900.0
179,999.0,18000.0
180,999.0,18100.0
181,998.6666666666666,18200.0
182,998.6666666666666,18300.0
183,998.6666666666666,18400.0
184,999.0,18500.0
185,999.0,18600.0
186,999.3333333333334,18700.0
187,999.0,18800.0
188,999.0,18900.0
189,999.0,19000.0
190,999.0,19100.0
191,999.0,19200.0
192,999.0,19300.0
193,999.0,19400.0
194,999.0,19500.0
195,999.0,19600.0
196,999.0,19700.0
197,999.0,19800.0
198,999.0,19900.0
199,999.0,20000.0
200,999.0,20100.0
201,999.0,20200.0
202,999.0,20300.0
203,999.0,20400.0
204,999.0,20500.0
205,999.0,20600.0
206,999.0,20700.0
207,999.0,20800.0
208,999.0,20900.0
209,999.0,21000.0
210,999.0,21100.0
211,999.0,21200.0
212,999.0,21300.0
213,999.0,21400.0
214,999.0,21500.0
215,999.0,21600.0
216,999.0,21700.0
217,999.0,21800.0
218,999.0,21900.0
219,999.0,22000.0
220,999.0,22100.0
221,999.0,22200.0
222,999.0,22300.0
223,999.0,22400.0
224,999.5,22500.0
225,999.0,22600.0
226,999.0,22700.0
227,999.0,22800.0
228,999.0,22900.0
229,999.0,23000.0
230,999.0,23100.0
231,999.0,23200.0
232,999.0,23300.0
233,999.0,23400.0
234,999.0,23500.0
235,999.0,23600.0
236,999.0,23700.0
237,999.0,23800.0
238,999.0,23900.0
239,999.0,24000.0
240,999.0,24100.0
241,999.0,24200.0
242,999.0,24300.0
243,999.0,24400.0
244,999.0,24500.0
245,999.0,24600.0
246,999.0,24700.0
247,999.0,24800.0
248,999.0,24900.0
249,999.0,25000.0
250,999.0,25100.0
251,999.0,25200.0
252,999.0,25300.0
253,999.0,25400.0
254,999.0,25500.0
255,999.0,25600.0
256,999.0,25700.0
257,999.0,25800.0
258,999.0,25900.0
259,999.0,26000.0
260,999.0,26100.0
261,999.0,26200.0
262,999.0,26300.0
263,999.0,26400.0
264,999.0,26500.0
265,999.0,26600.0
266,999.0,26700.0
267,999.0,26800.0
268,999.0,26900.0
269,999.0,27000.0
270,999.0,27100.0
271,999.0,27200.0
272,999.0,27300.0
273,999.0,27400.0
274,999.0,27500.0
275,999.0,27600.0
276,999.0,27700.0
277,999.0,27800.0
278,999.0,27900.0
279,999.0,28000.0
280,999.0,28100.0
281,999.0,28200.0
282,999.0,28300.0
283,1000.0,28400.0
