generation,fitness,nb_eval
0,3.8000000000000003,4.0
1,4.25,5.0
2,4.9,6.0
3,5.9799999999999995,8.0
4,7.0,10.0
5,7.94,12.0
6,8.92,14.0
7,9.620000000000001,16.0
8,10.52,18.0
9,11.3,20.0
10,12.059999999999999,22.0
11,12.78,24.0
12,13.6,26.0
13,14.26,28.0
14,14.88,30.0
15,15.48,32.0
16,16.2,34.0
17,16.740000000000002,36.0
18,17.16,38.0
19,17.919999999999998,40.0
20,18.68,42.0
21,19.3,44.0
22,19.96,46.0
23,20.8,48.0
24,21.32,50.0
25,21.8,52.0
26,22.22,54.0
27,22.68,56.0
28,23.139999999999997,58.0
29,23.56,60.0
30,24.119999999999997,62.0
31,24.8,64.0
32,25.46,66.0
33,26.0,68.0
34,26.72,70.0
35,27.28,72.0
36,27.8,74.0
37,28.26,76.0
38,28.9,78.0
39,29.5,80.0
40,30.139999999999997,82.0
41,30.78,84.0
42,31.68,86.0
43,32.519999999999996,88.0
44,33.260000000000005,90.0
45,34.06,92.0
46,34.739999999999995,94.0
47,35.4,96.0
48,35.959999999999994,98.0
49,36.67999999999999,100.0
50,37.339999999999996,102.0
51,38.160000000000004,104.0
52,38.78,106.0
53,39.36,108.0
54,39.86,110.0
55,40.54,112.0
56,41.38,114.0
57,42.28,116.0
58,43.2,118.0
59,44.1,120.0
60,44.879999999999995,122.0
61,45.56,124.0
62,46.2,126.0
63,46.88,128.0
64,47.52,130.0
65,48.160000000000004,132.0
66,48.64,134.0
67,49.160000000000004,136.0
68,49.7,138.0
69,50.44,140.0
70,51.260000000000005,142.0
71,52.0,144.0
72,52.739999999999995,146.0
73,53.379999999999995,148.0
74,53.96,150.0
75,54.660000000000004,152.0
76,55.42,154.0
77,56.06,156.0
78,56.8,158.0
79,57.44,160.0
80,57.82000000000001,162.0
81,58.17999999999999,164.0
82,58.660000000000004,166.0
83,59.04,168.0
84,59.48,170.0
85,60.06,172.0
86,60.760000000000005,174.0
87,61.56,176.0
88,62.56,178.0
89,63.48,180.0
90,64.32000000000001,182.0
91,65.1,184.0
92,65.78,186.0
93,66.46000000000001,188.0
94,67.08,190.0
95,67.76,192.0
96,68.62,194.0
97,69.58,196.0
98,70.46000000000001,198.0
99,71.53999999999999,200.0
100,72.52000000000001,202.0
101,73.3,204.0
102,74.1,206.0
103,74.8,208.0
104,75.38,210.0
105,76.0,212.0
106,76.66,214.0
107,77.2,216.0
108,77.76,218.0
109,78.26,220.0
110,78.86,222.0
111,79.42,224.0
112,80.0,226.0
113,80.62,228.0
114,81.32000000000001,230.0
115,81.84,232.0
116,82.67999999999999,234.0
117,83.42,236.0
118,84.05999999999999,238.0
119,84.67999999999999,240.0
120,85.47999999999999,242.0
121,86.22,244.0
122,86.97999999999999,246.0
123,87.9,248.0
124,88.74,250.0
125,89.67999999999999,252.0
126,90.56,254.0
127,91.42,256.0
128,92.14,258.0
129,92.92,260.0
130,93.46000000000001,262.0
131,93.88,264.0
132,94.32000000000001,266.0
133,94.74,268.0
134,95.26,270.0
135,95.76,272.0
136,96.12,274.0
137,96.54,276.0
138,97.12,278.0
139,97.7,280.0
140,98.47999999999999,282.0
141,99.28,284.0
142,100.1,286.0
143,100.74,288.0
144,101.36,290.0
145,101.9,292.0
146,102.5,294.0
147,103.2,296.0
148,104.05999999999999,298.0
149,104.96,300.0
150,105.72,302.0
151,106.58,304.0
152,107.28,306.0
153,107.88,308.0
154,108.35999999999999,310.0
155,109.04,312.0
156,109.52000000000001,314.0
157,110.22,316.0
158,110.94000000000001,318.0
159,111.74000000000001,320.0
160,112.38,322.0
161,113.05999999999999,324.0
162,113.5,326.0
163,114.0,328.0
164,114.46,330.0
165,115.02000000000001,332.0
166,115.67999999999999,334.0
167,116.42,336.0
168,117.25999999999999,338.0
169,118.04,340.0
170,118.74000000000001,342.0
171,119.35999999999999,344.0
172,120.05999999999999,346.0
173,120.55999999999999,348.0
174,121.12,350.0
175,121.67999999999999,352.0
176,122.2,354.0
177,122.58,356.0
