generation,fitness,nb_evals
0,3.1666666666666665,4.0
1,3.725,5.0
2,4.42,6.0
3,5.78,8.0
4,6.8,10.0
5,7.38,12.0
6,8.28,14.0
7,8.940000000000001,16.0
8,9.5,18.0
9,10.02,20.0
10,10.72,22.0
11,11.2,24.0
12,11.72,26.0
13,12.24,28.0
14,12.78,30.0
15,13.280000000000001,32.0
16,13.88,34.0
17,14.419999999999998,36.0
18,15.080000000000002,38.0
19,15.88,40.0
20,16.52,42.0
21,17.119999999999997,44.0
22,17.619999999999997,46.0
23,18.2,48.0
24,18.8,50.0
25,19.52,52.0
26,20.28,54.0
27,21.080000000000002,56.0
28,21.82,58.0
29,22.6,60.0
30,23.259999999999998,62.0
31,23.8,64.0
32,24.46,66.0
33,25.240000000000002,68.0
34,26.060000000000002,70.0
35,26.880000000000003,72.0
36,27.68,74.0
37,28.439999999999998,76.0
38,29.04,78.0
39,29.660000000000004,80.0
40,30.419999999999998,82.0
41,31.119999999999997,84.0
42,31.839999999999996,86.0
43,32.44,88.0
44,32.879999999999995,90.0
45,33.22,92.0
46,33.8,94.0
47,34.7,96.0
48,35.94,98.0
49,37.08,100.0
50,38.28,102.0
51,39.38,104.0
52,40.08,106.0
53,40.56,108.0
54,41.019999999999996,110.0
55,41.64,112.0
56,42.44,114.0
57,43.4,116.0
58,44.38,118.0
59,45.46,120.0
60,46.480000000000004,122.0
61,47.239999999999995,124.0
62,47.9,126.0
63,48.540000000000006,128.0
64,49.120000000000005,130.0
65,49.660000000000004,132.0
66,50.38,134.0
67,51.019999999999996,136.0
68,51.760000000000005,138.0
69,52.5,140.0
70,53.220000000000006,142.0
71,53.92,144.0
72,54.779999999999994,146.0
73,55.56,148.0
74,56.5,150.0
75,57.48,152.0
76,58.279999999999994,154.0
77,59.04,156.0
78,59.67999999999999,158.0
79,60.46,160.0
80,61.08,162.0
81,61.739999999999995,164.0
82,62.339999999999996,166.0
83,63.0,168.0
84,63.339999999999996,170.0
85,63.779999999999994,172.0
86,64.36,174.0
87,65.02000000000001,176.0
88,65.72,178.0
89,66.46000000000001,180.0
90,67.28,182.0
91,68.02000000000001,184.0
92,68.78,186.0
93,69.6,188.0
94,70.44,190.0
95,71.3,192.0
96,72.34,194.0
97,73.47999999999999,196.0
98,74.47999999999999,198.0
99,75.5,200.0
100,76.42,202.0
101,77.14,204.0
102,77.78,206.0
103,78.47999999999999,208.0
104,79.06,210.0
105,79.56,212.0
106,80.32000000000001,214.0
107,81.0,216.0
108,81.8,218.0
109,82.74,220.0
110,83.88,222.0
111,85.08,224.0
112,86.2,226.0
113,87.26,228.0
114,88.24,230.0
115,89.14,232.0
116,89.88,234.0
117,90.64,236.0
118,91.36,238.0
119,92.14,240.0
120,93.0,242.0
121,93.6,244.0
122,94.26,246.0
123,95.06,248.0
124,95.84,250.0
125,96.62,252.0
126,97.52000000000001,254.0
127,98.46000000000001,256.0
128,99.16,258.0
129,99.96000000000001,260.0
130,100.72,262.0
131,101.5,264.0
132,102.24000000000001,266.0
133,103.22,268.0
134,104.2,270.0
135,105.28,272.0
136,106.35999999999999,274.0
137,107.44000000000001,276.0
138,108.32000000000001,278.0
139,109.3,280.0
140,110.2,282.0
141,110.94000000000001,284.0
142,111.6,286.0
143,112.35999999999999,288.0
144,112.97999999999999,290.0
145,113.38,292.0
146,114.0,294.0
147,114.82000000000001,296.0
148,115.52000000000001,298.0
149,116.34,300.0
150,117.5,302.0
151,118.66,304.0
152,119.6,306.0
153,120.7,308.0
154,121.66,310.0
155,122.35999999999999,312.0
156,122.92,314.0
157,123.7,316.0
158,124.62,318.0
159,125.44000000000001,320.0
160,126.34,322.0
161,127.3,324.0
162,128.02,326.0
163,128.57999999999998,328.0
164,129.32,330.0
165,129.96,332.0
166,130.58,334.0
167,131.32,336.0
168,132.07999999999998,338.0
169,132.82,340.0
170,133.64000000000001,342.0
171,134.44,344.0
172,135.2,346.0
173,135.9,348.0
174,136.64000000000001,350.0
175,137.28,352.0
176,138.02,354.0
177,138.82,356.0
178,139.66,358.0
179,140.42000000000002,360.0
180,141.32,362.0
181,142.18,364.0
182,143.0,366.0
183,143.78,368.0
184,144.52,370.0
185,145.26,372.0
186,146.12,374.0
187,146.98,376.0
188,147.82,378.0
189,148.78,380.0
190,149.78,382.0
191,150.6,384.0
192,151.4,386.0
193,152.16,388.0
194,152.8,390.0
195,153.4,392.0
196,154.0,394.0
197,154.74,396.0
198,155.52,398.0
199,156.35999999999999,400.0
200,157.18,402.0
201,157.95999999999998,404.0
202,158.64000000000001,406.0
203,159.35999999999999,408.0
204,159.92000000000002,410.0
205,160.38,412.0
206,160.94,414.0
207,161.44,416.0
208,162.02,418.0
209,162.68,420.0
210,163.32,422.0
211,163.84,424.0
212,164.4,426.0
213,164.74,428.0
214,165.3,430.0
215,165.84,432.0
216,166.44,434.0
217,167.06,436.0
218,167.74,438.0
219,168.44,440.0
220,169.32,442.0
221,170.18,444.0
222,171.16,446.0
223,172.24,448.0
224,172.98,450.0
225,173.6,452.0
226,174.38,454.0
227,174.98,456.0
228,175.45999999999998,458.0
229,175.92000000000002,460.0
230,176.38,462.0
231,176.84,464.0
232,177.34,466.0
233,177.98,468.0
234,178.84,470.0
235,179.66,472.0
236,180.34,474.0
237,181.2,476.0
238,181.88,478.0
239,182.35999999999999,480.0
240,182.88,482.0
241,183.4,484.0
242,183.78,486.0
243,184.16,488.0
244,184.68,490.0
245,185.3,492.0
246,185.9,494.0
247,186.5,496.0
248,187.24,498.0
249,187.94,500.0
250,188.62,502.0
251,189.34,504.0
252,190.04000000000002,506.0
253,190.76,508.0
254,191.44,510.0
255,192.04000000000002,512.0
256,192.78,514.0
257,193.66,516.0
258,194.54000000000002,518.0
259,195.4,520.0
260,196.38,522.0
261,197.26,524.0
262,198.0,526.0
263,198.57999999999998,528.0
264,199.22,530.0
265,199.8,532.0
266,200.32,534.0
267,200.76,536.0
268,201.34,538.0
269,201.95999999999998,540.0
270,202.45999999999998,542.0
271,203.02,544.0
272,203.54000000000002,546.0
273,204.12,548.0
274,204.64000000000001,550.0
275,205.34,552.0
276,205.95999999999998,554.0
277,206.76,556.0
278,207.48000000000002,558.0
279,208.24,560.0
280,208.95999999999998,562.0
281,209.9,564.0
282,210.66,566.0
283,211.34,568.0
284,212.01999999999998,570.0
285,212.61999999999998,572.0
286,213.01999999999998,574.0
287,213.56,576.0
288,214.11999999999998,578.0
289,214.61999999999998,580.0
290,215.04000000000002,582.0
291,215.48000000000002,584.0
292,215.8,586.0
293,216.06,588.0
294,216.3,590.0
295,216.7,592.0
296,217.08,594.0
297,217.74,596.0
298,218.42,598.0
299,219.11999999999998,600.0
300,219.82,602.0
301,220.48000000000002,604.0
302,220.85999999999999,606.0
303,221.38000000000002,608.0
304,221.98000000000002,610.0
305,222.48000000000002,612.0
306,223.11999999999998,614.0
307,223.76,616.0
308,224.38000000000002,618.0
309,224.84,620.0
310,225.42,622.0
311,225.94,624.0
312,226.56,626.0
313,227.1,628.0
314,227.71999999999997,630.0
315,228.28000000000003,632.0
316,228.71999999999997,634.0
317,229.11999999999998,636.0
318,229.56,638.0
319,230.01999999999998,640.0
320,230.76,642.0
321,231.56,644.0
322,232.28000000000003,646.0
323,233.0,648.0
324,233.7,650.0
325,234.08,652.0
326,234.5,654.0
327,234.98000000000002,656.0
328,235.44,658.0
329,236.0,660.0
330,236.5,662.0
331,237.1,664.0
332,237.7,666.0
333,238.32,668.0
334,238.88000000000002,670.0
335,239.48000000000002,672.0
336,239.94,674.0
337,240.4,676.0
338,240.84,678.0
339,241.34,680.0
340,241.82,682.0
341,242.24,684.0
342,242.66,686.0
343,243.1,688.0
344,243.48000000000002,690.0
345,243.88000000000002,692.0
346,244.34,694.0
347,244.88000000000002,696.0
348,245.42,698.0
349,245.88000000000002,700.0
350,246.4,702.0
351,247.08,704.0
352,247.7,706.0
353,248.3,708.0
354,248.9,710.0
355,249.5,712.0
356,249.88000000000002,714.0
357,250.21999999999997,716.0
358,250.6,718.0
359,251.0,720.0
360,251.48000000000002,722.0
361,252.04000000000002,724.0
362,252.71999999999997,726.0
363,253.34,728.0
364,254.04000000000002,730.0
365,254.7,732.0
366,255.42,734.0
367,256.15999999999997,736.0
368,256.86,738.0
369,257.44,740.0
370,257.94,742.0
371,258.32,744.0
372,258.64,746.0
373,259.06,748.0
374,259.48,750.0
375,259.82,752.0
376,260.48,754.0
377,261.06,756.0
378,261.64,758.0
379,262.2,760.0
380,262.82,762.0
381,263.34000000000003,764.0
382,263.91999999999996,766.0
383,264.52,768.0
384,265.2,770.0
385,265.98,772.0
386,266.56000000000006,774.0
387,267.08000000000004,776.0
388,267.56,778.0
389,267.96,780.0
390,268.3,782.0
391,268.65999999999997,784.0
392,269.08000000000004,786.0
393,269.44,788.0
394,269.96,790.0
395,270.48,792.0
396,271.18,794.0
397,271.98,796.0
398,272.9,798.0
399,273.68,800.0
400,274.48,802.0
401,275.18,804.0
402,275.65999999999997,806.0
403,276.06,808.0
404,276.58000000000004,810.0
405,277.06,812.0
406,277.44,814.0
407,277.96,816.0
408,278.38,818.0
