generation,fitness,nb_evals
0,5.0,80.0
1,10.0,160.0
2,15.0,240.0
3,19.4,320.0
4,24.1,400.0
5,28.7,480.0
6,32.3,560.0
7,36.9,640.0
8,40.8,720.0
9,45.5,800.0
10,50.2,880.0
11,53.9,960.0
12,58.7,1040.0
13,62.1,1120.0
14,66.6,1200.0
15,70.5,1280.0
16,75.1,1360.0
17,80.0,1440.0
18,83.1,1520.0
19,87.3,1600.0
20,90.9,1680.0
21,94.8,1760.0
22,98.9,1840.0
23,103.0,1920.0
24,107.0,2000.0
25,111.6,2080.0
26,115.5,2160.0
27,120.0,2240.0
28,123.7,2320.0
29,127.7,2400.0
30,131.5,2480.0
31,135.6,2560.0
32,139.3,2640.0
33,143.3,2720.0
34,147.6,2800.0
35,151.5,2880.0
36,155.5,2960.0
37,159.5,3040.0
38,162.8,3120.0
39,166.6,3200.0
40,169.4,3280.0
41,172.3,3360.0
42,176.1,3440.0
43,180.2,3520.0
44,184.0,3600.0
45,188.0,3680.0
46,191.5,3760.0
47,194.7,3840.0
48,198.1,3920.0
49,201.2,4000.0
50,204.8,4080.0
51,207.6,4160.0
52,210.5,4240.0
53,213.9,4320.0
54,216.7,4400.0
55,219.3,4480.0
56,223.2,4560.0
57,225.9,4640.0
58,229.6,4720.0
59,232.1,4800.0
60,235.1,4880.0
61,238.7,4960.0
62,241.1,5040.0
63,243.9,5120.0
64,246.6,5200.0
65,250.2,5280.0
66,253.7,5360.0
67,256.3,5440.0
68,259.2,5520.0
69,260.8,5600.0
70,263.1,5680.0
71,265.2,5760.0
72,268.6,5840.0
73,271.1,5920.0
74,274.0,6000.0
75,276.2,6080.0
76,278.5,6160.0
77,281.1,6240.0
78,283.9,6320.0
79,287.0,6400.0
80,289.7,6480.0
81,291.9,6560.0
82,293.8,6640.0
83,297.0,6720.0
84,299.2,6800.0
85,302.3,6880.0
86,304.9,6960.0
87,307.2,7040.0
88,309.9,7120.0
89,312.5,7200.0
90,315.7,7280.0
91,316.9,7360.0
92,319.3,7440.0
93,322.3,7520.0
94,324.9,7600.0
95,327.6,7680.0
96,329.8,7760.0
97,331.3,7840.0
98,333.2,7920.0
99,336.0,8000.0
100,337.3,8080.0
101,339.7,8160.0
102,341.3,8240.0
103,343.1,8320.0
104,345.1,8400.0
105,346.8,8480.0
106,348.9,8560.0
107,350.9,8640.0
108,352.8,8720.0
109,355.0,8800.0
110,356.5,8880.0
111,358.6,8960.0
112,359.9,9040.0
113,361.7,9120.0
114,364.0,9200.0
115,366.1,9280.0
116,367.7,9360.0
